"clave","clasificacion","descripcion","cultural"
"215","Autores, periodistas y traductores","En este subgrupo se clasifica a los especialistas que escriben obras literarias (novelas, ensayos, cuentos, poesía o teatrales), periodísticas o informativas para su publicación y/o representación escénica, cinematográfica, radiofónica o televisiva.

Incluye: A quienes redactan críticas sobre obras literarias, artísticas y musicales. En este subgrupo se clasifica además a los traductores e intérpretes, que  traducen documentos o alocuciones de un idioma a otro para hacer accesible su contenido a quienes no comprenden el idioma original.",1
"2152",Periodistas y redactores,"Las ocupaciones clasificadas en este grupo unitario recaban, redactan y comentan información sobre acontecimientos, eventos y sucesos de cualquier orden para su difusión en diarios, revistas, radio o televisión.

Funciones:

• Investigar y compilar información para redactar textos sobre acontecimientos y sucesos de interés general o de temas específicos, con base en el perfil de la publicación.
• Comentar y opinar sobre eventos de tipo político, económico, social, cultural, deportivo, artístico, policíaco, en programas de radio, televisión, así como en diarios y revistas.
• Corregir el léxico, sintaxis y ortografía de textos a difundir.
• Entrevistar a personajes (artistas, políticos, deportistas, etc.) y redactar artículos de fondo, crónicas de sucesos y reportajes de interés general.
• Analizar y redactar noticias obtenidas por otros medios informativos para difundirlas y/o publicarlas a través de los diferentes medios de información.
• Realizar otras funciones afines.

Ocupaciones:

• Periodista y reportero.
• Redactor.
• Corrector de estilo.

Incluye: A quienes revisan los originales de libros, artículos, ensayos, etc., para determinar su posibilidad de publicación, tipo de mercado al que va dirigido, etcétera.",1
"216","Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos","En este subgrupo se clasifica a los artistas que realizan la creación y diseño de obras de artes plásticas, como: esculturas, pinturas, murales, caricaturas, dibujos, grabados, etcétera. También se clasifica aquí a los creativos que diseñan la escenografía para la realización de eventos artísticos y culturales.",1
"2163",Escultores,"Las ocupaciones clasificadas en este grupo unitario crean esculturas figurativas o abstractas en tres dimensiones o en relieve, modelando y combinando materiales como madera, piedra, arcilla o metal, etcétera.

Funciones:

• Crear figuras decorativas y representativas en tres dimensiones, o en relieve, dando forma a materiales como, madera, piedra, arcilla o metal.
• Esculpir objetos a partir de piedra, concreto, yeso, madera u otro material, usando abrasivos y herramientas, como cinceles, gubias y mazos.
• Construir formas artísticas a partir de metal o piedra, mediante herramientas o equipos para labrar el metal, para soldar o de cantería.
• Cortar, doblar, laminar, organizar y sujetar o unir productos y materias primas o manufacturadas individuales o mezclados para elaborar obras de arte.
• Modelar sustancias, como arcilla o cera, utilizando los dedos y herramientas manuales pequeñas para formar objetos artísticos.
• Elaboran estudios y bocetos que les ayuden a plasmar la obra definitiva.
• Realizar otras funciones afines.

Ocupaciones:

• Escultor.
• Restaurador de esculturas.",1
"2164",Escenógrafos,"Las ocupaciones clasificadas en este grupo unitario diseñan escenografía para películas, televisión y teatro. Para ello estudian libretos, intercambian ideas con los directores y llevan a cabo investigaciones para determinar los estilos arquitectónicos apropiados.

Funciones:

• Integrar los requisitos, incluyendo guión, investigación, presupuesto y locaciones disponibles para desarrollar el escenario.
• Investigar y consultar a expertos para determinar los estilos arquitectónicos y de mobiliario para representar ciertos periodos o locaciones.
• Coordinar la construcción, levantamiento o decoración de escenarios para garantizar que cumplen con los requisitos de diseño, presupuesto y programación.
• Seleccionar mobiliario, cortinas, pinturas, lámparas y alfombras que tengan la calidad y apariencia decorativa necesaria.
• Preparar borradores y dibujos a escala de los escenarios, incluyendo planos, escenografía y accesorios que se deben construir.
• Presentar dibujos para su aprobación y hacer cambios y correcciones según se indique.
• Diseñar y construir modelos a escala del diseño del escenario o escenarios en miniatura que se usan en la filmación de fondos o efectos especiales.
• Realizar otras funciones afines.

Ocupaciones:

• Escenógrafo  y tramoyista.",1
"2171",Compositores y arreglistas,"Las ocupaciones clasificadas en este grupo unitario idean, escriben y/o adaptan obras musicales  y canciones.

Funciones:

• Seleccionar el género y la temática de las piezas musicales a componer.
• Grabar en un “demo” las composiciones a ser reproducidas.
• Escribir la partitura base de la composición o arreglo musical a ejecutar por ellos u otros artistas.
• Escribir las partituras de los diferentes instrumentos o voces.
• Registrar, conforme a la ley, los derechos de autor de sus composiciones o arreglos.
• Realizar otras funciones afines.

Ocupaciones:

• Compositor de música y músico arreglista.",1
"2172",Músicos,"Las ocupaciones clasificadas en este grupo unitario tocan uno o varios instrumentos musicales como solistas, acompañando a cantantes o como integrantes de un grupo instrumental o para hacer presentaciones en programas radiofónicos y televisivos y/o en otros establecimientos.

Funciones:

• Estudiar y ensayar las composiciones musicales a interpretar.
• Interpretar, mediante la ejecución de un instrumento musical, diversas composiciones musicales, como solistas o bajo la conducción de un director de orquesta.
• Seleccionar y afinar los instrumentos musicales.
• Realizar otras funciones afines.

Ocupaciones:

• Pianista, organista.
• Guitarrista.
• Mariachi.",1
"2175",Actores,"Las ocupaciones clasificadas en este grupo unitario representan papeles dramáticos, cómicos, etc., de acuerdo a un guión y siguiendo las indicaciones de un director, para encarnar a  personajes en filmaciones, obras de teatro, televisión y espectáculos.

Funciones:

• Analizar las características del personaje a representar y las características de su contexto. Para ello, estudian el guión o libreto.
• Memorizar los parlamentos del libreto y ensayan su entonación de acuerdo a las instrucciones del director.
• Ensayar los gestos y movimientos que deben acompañar al parlamento  –diálogos– para matizar su actuación de acuerdo con las indicaciones del director y con los requerimientos de la puesta en escena.
• Representar, frente a las cámaras de televisión y cine o frente al público, diversos papeles dramáticos o cómicos.
• Realizar otras funciones afines.

Ocupaciones:

• Actor.
• Comediante.
• Imitador.",1
"2271",Desarrolladores y analistas de software y multimedia,"Las ocupaciones clasificadas en este grupo unitario desarrollan, crean y modifican programaciones para aplicaciones informáticas generales o programas utilitarios especializados; investigan, diseñan, desarrollan y programan sitios de internet e intranet.

Funciones:

• Analizar las necesidades del usuario y desarrollar soluciones mediante programas.
• Diseñar programas o adaptarlos según el uso al que los destine el usuario con la finalidad de elevar al máximo la eficiencia operacional.
• Analizar y diseñar bases de datos dentro de una esfera de aplicación, mediante trabajo individual o coordinando el desarrollo de la base de datos como parte de un equipo.
• Consultar a los clientes sobre sus necesidades de diseño de los sistemas de software y mantenimiento.
• Obtener y evaluar la información sobre formatos de presentación de informes necesarios, los costos y las necesidades de seguridad para determinar la configuración de hardware.
• Analizar información para determinar, recomendar y planificar las especificaciones y el diseño o modificaciones del equipo y de los periféricos.
• Consultar con los clientes para desarrollar y documentar los requisitos del sitio web.
• Preparar los diagramas, maquetas y guiones gráficos.
• Desarrollar la arquitectura del sitio web y determinar los requisitos de hardware y software.
• Seleccionar, organizar y suministrar la información para incorporarla al sitio, diseñar la apariencia, contenido y el flujo de las páginas web.
• Crear y optimizar el contenido del sitio web utilizando una variedad de gráficos, bases de datos, animación y otros programas.
• Planificar, diseñar, escribir, modificar, integrar y probar los códigos del sitio web.
• Realizar pruebas y llevar a cabo controles de calidad y de seguridad.
• Dirigir y coordinar los equipos multidisciplinarios para desarrollar el sitio web de gráficos, contenido, capacidad y la interactividad.
• Determinar en colaboración con los analistas informáticos los objetivos perseguidos con el programa a desarrollar, la naturaleza y fuentes de datos que suministrarán al programa y ordenar, y establecer los controles necesarios.
• Elaborar gráficos y diagramas para describir y determinar en qué secuencias habrá que proceder al registro y tratamiento de los datos.
• Desarrollar y proporcionar documentación detallada sobre los programas informáticos, utilizando para ello diversos lenguajes de programación.
• Elaborar pruebas de los programas elaborados para eliminar o corregir deficiencias o errores.
• Mantener actualizados los programas.
• Redactar y revisar procedimientos de diseño, procedimientos de prueba y normas de calidad de programas y sistemas.
• Elaborar diagramas y organigramas para ilustrar los procedimientos o pasos a seguir y describir los procedimientos operativos lógicos para la operación del programa.
• Realizar otras funciones afines.

Ocupaciones:

• Analista de sistemas y programador de  software.
• Asesor y consultor informático.
• Diseñador de páginas WEB.
• Diseñador de programas de computación.
• Ingeniero en sistemas y desarrollador de software.",1
"2425",Especialistas en medicina tradicional y alternativa,"Las ocupaciones clasificadas en este grupo unitario proporcionan formas alternativas de asistencia a la salud para los pacientes como son la acupuntura, electropuntura, homeopatía, entre otros sistemas de medicina alternativa en clínicas, asociaciones de salud, “spas”, tiendas de alimentos naturistas o en consultorios privados.

Funciones:

• Diagnosticar enfermedades y lesiones de los pacientes y tratarlos usando hierbas y otras medicinas y suplementos dietéticos.
• Aconsejar a los pacientes sobre el uso de hierbas para el tratamiento de padecimientos tales como artritis, reumatismo, asma, trastornos de la piel y malestares estomacales.
• Diagnosticar enfermedades y tratarlas administrando, en forma química o herbal, pequeñas dosis de la misma enfermedad o sugiriendo cambios en el estilo de vida.
• Aplicar presión suave con los dedos en puntos específicos del cuerpo del paciente para provocar la relajación, una mejor salud y bienestar.
• Manipular sistemáticamente varias partes del cuerpo como las piernas y los hombros para realinear la estructura del cuerpo y reducir los dolores crónicos y el estrés.
• Realizar otras funciones afines.

Ocupaciones:

• Acupunturista.
• Homeópata.
• Otros médicos tradicionales o alternativos.",1
"254","Diseñadores de modas, industriales, gráficos y decoradores de interiores","En este subgrupo se clasifica a los artistas que diseñan productos (envases, telas, prendas de vestir, zapatos, entre otros productos) para su producción industrial. Se clasifica también a quienes diseñan la decoración interior y el mobiliario de casas, edificios públicos (museos, jardines, etc.), escaparates, barcos y otros lugares. Asimismo se clasifica en este grupo unitario a los diseñadores gráficos que conciben o adaptan y realizan dibujos, textos, logos, etc., para diagramar e ilustrar o realizar animaciones para libros, revistas, material publicitario, créditos y/o entradas y salidas de películas o programas de televisión.",1
"2541",Diseñadores de moda y vestuario,"Las ocupaciones clasificadas en este grupo unitario diseñan prendas de vestir y accesorios siguiendo las tendencias reconocidas de la moda; para ello desarrollan la línea de colores o de géneros.

Funciones:

• Diseñar ropa a la medida para clientes.
• Dibujar patrones para el diseño de artículos, cortar materiales de acuerdo a los patrones, mediante instrumentos de diseño y tijeras.
• Asistir a eventos de modas y analizar revistas de modas y manuales para identificar las tendencias de la moda, predicciones y preferencias de los consumidores.
• Formar maquetas o muestras de la prenda o del artículo.
• Dirigir y coordinar a empleados que dibujan y cortan patrones.
• Elaborar prendas terminadas como muestrario.
• Organizar la presentación de prendas de muestra en reuniones de ventas o eventos de modas.
• Discutir con ejecutivos de ventas y de administración o con los clientes lo referente a ideas de diseño.
• Hacer borradores o dibujos detallados de prendas o accesorios; escribir especificaciones como esquemas de colores, elaboración y tipo de material.
• Analizar, en coordinación con el productor y el director de arte, la época y el lugar en que está situada la acción, así como las características de los personajes, a fin de determinar las características del vestuario y los accesorios a confeccionar.
• Diseñar los diferentes atuendos y accesorios de los actores y los extras en cada escena.
• Seleccionar los materiales y presupuestar la elaboración de los atuendos y accesorios.
• Supervisar la elaboración del vestuario y los accesorios, antes y durante la filmación o grabación de las escenas.
• Realizar otras funciones afines.

Ocupaciones:

• Diseñador de accesorios.
• Diseñador de alhajas.
• Diseñador de calzado.
• Diseñador de modas.
• Diseñador de industria del vestido.
• Diseñador de prendas de vestir.",1
"2542",Diseñadores industriales,"Las ocupaciones clasificadas en este grupo unitario diseñan productos (envases, telas, zapatos, entre otros productos) para su fabricación industrial.

Funciones:

• Crear diseños de envases, zapatos, muebles, juguetes, etc., tratando de conjugar el aspecto estético con las exigencias técnicas y comerciales.
• Analizar e interpretar las ideas y necesidades (o problemas de comunicación) que les plantean los clientes o jefes inmediatos, para determinar estilo, procedimiento, material, etc., a utilizar  en el diseño.
• Preparar las especificaciones de los productos diseñados y calcular el costo de los materiales y el tiempo para su elaboración.
• Elaborar originales de los diagramas o ilustraciones, efectuando montajes y/o formateando en la computadora los textos y elementos gráficos para su aprobación final.
• Realizar otras funciones afines.

Ocupaciones:

• Diseñador de productos industriales.
• Diseñador automotriz.
• Diseñador de circuitos integrados.
• Diseñador de cocinas integrales.
• Diseñador de equipo industrial.
• Diseñador de equipos de seguridad.
• Diseñador de estructuras metálicas.
• Diseñador industrial.",1
"2543",Diseñadores gráficos,"Las ocupaciones clasificadas en este grupo unitario conciben o adaptan y realizan dibujos, textos, logos y similares para diagramar e ilustrar o realizar animaciones para libros, revistas, material publicitario, créditos y/o entradas y salidas de películas o programas de televisión.

Funciones:

• Analizar e interpretar las ideas, necesidades o problemas de comunicación que les plantean los clientes o jefes inmediatos, para determinar estilo, procedimiento, material, etcétera.
• Crear y bocetar “dummys” como modelos o maquetas de las ilustraciones, en uno o más colores, para su aprobación y reproducción en revistas, material publicitario o promocional en video.
• Preparar las especificaciones para los diseños y calcular el costo de los materiales y el tiempo requerido para su elaboración.
• Elaborar originales de los diagramas o ilustraciones, efectuando montajes y/o formateando      en la computadora los textos y elementos gráficos para su aprobación final.
• Realizar otras funciones afines.

Ocupaciones:

• Ayudante de diseñador gráfico.
• Diseñador gráfico publicista (técnico).
• Diseñador publicitario (técnico).
• Técnico en artes gráficas.
• Técnico en diseño gráfico.",1
"2544","Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)","Las ocupaciones clasificadas en este grupo unitario diseñan la decoración interior y el mobiliario de casas, edificios públicos, escaparates, barcos y otros lugares. También se clasifica a quienes realizan el diseño y decorado de jardines, arreglos florales y de diversos materiales tales como tazas, llaveros, camisetas, vasijas, etcétera.

Funciones:

• Analizar e interpretar las ideas, necesidades o problemas de comunicación que les plantean los clientes o jefes inmediatos, para determinar estilo, procedimiento, material, etcétera.
• Diseñar la decoración interior y el mobiliario de casas y edificios públicos, como museos, galerías, jardines, etcétera.
• Diseñar y realizar efectos decorativos para utilizar en escaparates y otros lugares donde se exhiben artículos.
• Diseñar arreglos florales utilizando naturaleza muerta, artículos de ornato artificial y flores y frutas naturales.
• Decorar tazas, llaveros, camisetas, vasijas y otros productos a petición del cliente.
• Realizar otras funciones afines.

Ocupaciones:

• Ayudante de decorador.
• Decorador de aparadores comerciales.
• Decorador de arreglos florales.
• Decorador de carros alegóricos.
• Decorador de globos.
• Decorador de salones de eventos.
• Diseñador de interiores.",1
"255","Locutores, animadores y payasos","Las ocupaciones clasificadas en este subgrupo realizan funciones de entretenimiento al público, ejecutando números o actos de entretenimiento, espectaculares o emocionantes en circos, programas de televisión, casas particulares y en otros establecimientos del ramo.

También se cataloga a los animadores  y organizadores de eventos culturales, deportivos y sociales. Son clasificados aquí los trabajadores que realizan dichas actividades a partir de un contrato verbal o por escrito.",1
"2551","Locutores de radio, televisión y otros medios de comunicación","Las ocupaciones clasificadas en este grupo unitario transmiten oralmente, por medio de un micrófono, comerciales, noticias, comentarios, eventos de tipo político, social y deportivo en programas de radio, televisión, teatros, salas de fiestas y otros lugares destinados a espectáculos.

Funciones:

• Revisar la guía de continuidad para detectar cambios en la programación correspondiente.
• Transmitir y/o grabar comerciales, programas culturales, noticiosos, reportajes, eventos, etcétera.
• Animar programas de entretenimiento, musicales, etcétera.
• Presentar, comentar y entrevistar a personajes relacionados con eventos de tipo político, artístico, deportivo, social, etcétera.
• Realizar otras funciones afines.

Ocupaciones:

• Cronista de radio.
• Comentarista de radio y televisión.",1
"2552",Animadores y organizadores de eventos,"Las ocupaciones clasificadas en este grupo unitario organizan, presentan y animan actividades culturales, espectáculos artísticos o deportivos, en establecimientos como: plazas de toros, estadios, circos, centros nocturnos, centros sociales, etcétera.

Funciones:

• Anunciar y animar la realización de los eventos y presentar a los participantes en los eventos culturales, espectáculos artísticos o deportivos, en establecimientos como: plazas de toros, estadios, circos, centros de convenciones, etcétera.
• Actuar como maestro de ceremonias, presentar a los invitados o personalidades en eventos culturales, deportivos, sociales, políticos y en espectáculos.
• Planear y organizar eventos sociales, culturales y deportivos.
• Realizar otras funciones afines.

Ocupaciones:

• Animador y maestro de ceremonias.
• Organizador de eventos.",1
"2553","Payasos, mimos y cirqueros","Las ocupaciones clasificadas en este grupo unitario interpretan números de fantasía, malabarismo, acrobacia y otros actos con el fin de divertir y entretener al público en circos o en otros establecimientos.",1
"2625",Dibujantes técnicos,"Las ocupaciones clasificadas en este grupo unitario diseñan, trazan o delinean planos y dibujos arquitectónicos, topográficos, estructurales para la construcción de edificios, puentes y carreteras; preparan diagramas de cableado, diagramas de montaje de la placa del circuito y diagramas de distribución que se emplean en la fabricación, instalación y reparación de equipos eléctricos en fábricas, plantas generadoras y edificios; preparan diagramas detallados de maquinarias y dispositivos mecánicos, incluidas dimensiones, métodos de fijación y demás información de ingeniería.

Funciones:

• Examinar y estudiar croquis, bocetos y notas para verificar dimensiones y especificaciones del proyecto.
• Integrar un paquete con los planos e informes de la obra.
• Calcular dimensiones y superficies para trazar planos y dibujos arquitectónicos, topográficos, y estructurales.
• Dibujar y trazar, a escala, planos arquitectónicos, topográficos, diagramas para obras de construcción (edificios, puentes, embalses, carreteras, etcétera).
• Construir maquetas para representar, a escala, los proyectos arquitectónicos.
• Preparar diagramas de cableado, diagramas de montaje de la placa del circuito y diagramas de distribución que se emplean en la fabricación, instalación y reparación de equipos eléctricos en fábricas, plantas generadoras y edificios.
• Preparar diagramas detallados de maquinarias y dispositivos mecánicos, incluidas dimensiones, métodos de fijación y demás información de ingeniería.
• Realizar otras funciones afines.

Ocupaciones:

• Dibujante técnico, dibujante de planos y constructor de maquetas.
• Rotulista.",1
"2636",Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales.,"Los trabajadores clasificados en este grupo unitario instalan, reparan y dan mantenimiento a instrumentos y sistemas de medición y/o control industriales.

Funciones:

• Probar y ajustar los componentes de los sistemas e instrumentos de medición y control industriales.
• Construir, reparar y afinar instrumentos musicales de todo tipo: guitarras, pianos, etcétera.
• Ajustar y reparar relojes mecánicos e instrumentos de precisión.
• Ajustar y reparar instrumentos de óptica.
• Ajustar y reparar aparatos médicos y ortopédicos.
• Realizar otras funciones afines.

Ocupaciones:

• Mecánico en instrumentos de precisión (máquinas de coser y de escribir, velocímetros, etcétera).
• Constructor de pianos y artesano en la elaboración de guitarras.",1
"2652",Técnicos en operaciones de equipos de radio.,"Las ocupaciones clasificadas en este grupo unitario operan equipos de radiotelegrafía o radiotelefonía para recibir y transmitir comunicaciones.

Funciones

• Comunicarse por radio con pilotos de pruebas, personal técnico, entre otros durante pruebas de vuelo para transmitir información.
• Manejar controles o interruptores para activar la energía eléctrica, ajustar el volumen y modulación de voz y colocar el transmisor en la frecuencia especificada.
• Comunicarse con el operador receptor para dar y recibir instrucciones para la transmisión o para la atención a clientes.
• Operar equipo de grabación de sonidos para grabar señales y conservar la transmisión para su análisis posterior o documentar comunicaciones.
• Registrar en la estación mensajes transmitidos y recibidos para documentar las actividades realizadas.
• Controlar frecuencias de emergencia para llamadas de auxilio y enviar equipos de emergencia.
• Realizar otras funciones afines.

Ocupaciones:

• Operador de radio y radiotelegrafista.",1
